,Genus_species,Class,Order,Family,Genus,epithet,Species,Notes,Level_of_identification,Original_names_1,Original_names_2,Original_names_3
373,Scaptomyza_vittata,Insecta,Diptera,Drosophilidae,Scaptomyza,vittata,Scaptomyza vittata,NA,Species,Scaptomyza vittata,NA,NA
374,Scatopse_notata,Insecta,Diptera,Scatopsidae,Scatopse,notata,Scatopse notata,NA,Species,Scatopse notata,NA,NA
375,"Sciophila_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Sciophila,sp1,Sciophila sp1,NA,Morphospecies,Sciophila BioSCAN sp. 1,NA,NA
376,"Sciophila_""BioSCAN""_sp_2",Insecta,Diptera,Mycetophilidae,Sciophila,sp2,Sciophila sp2,NA,Morphospecies,Sciophila BioSCAN sp. 2,NA,NA
377,"Sciophila_""BioSCAN""_sp_3",Insecta,Diptera,Mycetophilidae,Sciophila,sp3,Sciophila sp3,NA,Morphospecies,Sciophila BioSCAN sp. 3,NA,NA
378,Sciophila_sp,Insecta,Diptera,Mycetophilidae,Sciophila,NA,Sciophila,NA,Genus,Sciophila sp.,NA,NA
379,Scotophaeus_blackwalli,Arachnida,Araneae,Gnaphosidae,Scotophaeus,blackwalli,Scotophaeus blackwalli,NA,Species,Scotophaeus blackwalli,NA,NA
380,Spaerophoira_contigua,Insecta,Diptera,Syrphidae,Sphaerophoria,contigua,Sphaerophoria contigua,NA,Species,Spaerophoira contigua,NA,NA
381,Spaerophoira_sulphuripes,Insecta,Diptera,Syrphidae,Sphaerophoria,sulphuripes,Sphaerophoria sulphuripes,NA,Species,Spaerophoira sulphuripes,NA,NA
382,Spaerophoria_contigua,Insecta,Diptera,Syrphidae,Sphaerophoria,contigua,Sphaerophoria contigua,NA,Species,Spaerophoria contigua,NA,NA
383,Spaerophoria_sulphuripes,Insecta,Diptera,Syrphidae,Sphaerophoria,sulphuripes,Sphaerophoria sulphuripes,NA,Species,Spaerophoria sulphuripes,NA,NA
384,Sparassidae,Arachnida,Araneae,Sparassidae,NA,NA,NA,NA,Family,Sparassidae,NA,NA
385,Sphecodes_sp,Insecta,Hymenoptera,Halictidae,Sphecodes,NA,Sphecodes,NA,Genus,Sphecodes sp.,NA,NA
386,Spiniphora_bergenstammi,Insecta,Diptera,Phoridae,Spiniphora,bergenstammii,Spiniphora bergenstammii,NA,Species,Spiniphora bergenstammi,NA,NA
387,Spiniphora_sp,Insecta,Diptera,Phoridae,Spiniphora,bergenstammii,Spiniphora bergenstammii,NA,Species,Spiniphora sp,NA,NA
388,Steatoda_grossa,Arachnida,Araneae,Theridiidae,Steatoda,grossa,Steatoda grossa,NA,Species,Steatoda grossa,NA,NA
389,Steatoda_nobilis,Arachnida,Araneae,Theridiidae,Steatoda,nobilis,Steatoda nobilis,NA,Species,Steatoda nobilis,NA,NA
390,Steatoda_sp,Arachnida,Araneae,Theridiidae,Steatoda,NA,Steatoda,NA,Genus,Steatoda sp.,NA,NA
391,Strymon_melinus,Insecta,Lepidoptera,Lycaenidae,Strymon,melinus,Strymon melinus,NA,Species,Strymon melinus,NA,NA
392,Swammerdamella_marginata,Insecta,Diptera,Scatopsidae,Swammerdamella,marginata,Swammerdamella marginata,NA,Species,Swammerdamella marginata,NA,NA
393,Syritta_pipiens,Insecta,Diptera,Syrphidae,Syritta,pipiens,Syritta pipiens,NA,Species,Syritta pipiens,NA,NA
394,Syrphus_opinator,Insecta,Diptera,Syrphidae,Syrphus,opinator,Syrphus opinator,NA,Species,Syrphus opinator,NA,NA
395,"Tarnania_""BioSCAN""_sp1",Insecta,Diptera,Mycetophilidae,Tarnania,sp1,Tarnania sp1,NA,Morphospecies,Tarnania BioSCAN sp.1,NA,NA
396,Tegenaria_sp,Arachnida,Araneae,Agelenidae,Tegenaria,NA,Tegenaria,NA,Genus,Tegenaria,NA,NA
397,Theridiidae,Arachnida,Araneae,Theridiidae,NA,NA,NA,NA,Family,Theridiidae,NA,NA
398,Theridion_goodnightorum,Arachnida,Araneae,Theridiidae,Theridion,goodnightorum,Theridion goodnightorum,NA,Species,Theridion goodnightorum,NA,NA
399,Theridion_melanurum,Arachnida,Araneae,Theridiidae,Theridion,melanurum,Theridion melanurum,NA,Species,Theridion melanurum,NA,NA
400,Theridion_murariium,Arachnida,Araneae,Theridiidae,Theridion,murariium,Theridion murariium,NA,Species,Theridion murariium,NA,NA
401,Theridion_positivum,Arachnida,Araneae,Theridiidae,Theridion,positivum,Theridion positivum,NA,Species,Theridion positivum,NA,NA
402,Theridion_punctipes,Arachnida,Araneae,Theridiidae,Theridion,punctipes,Theridion punctipes,NA,Species,Theridion punctipes,NA,NA
403,Theridion_sp,Arachnida,Araneae,Theridiidae,Theridion,NA,Theridion,NA,Genus,Theridion,NA,NA
404,Theridon_dilutum,Arachnida,Araneae,Theridiidae,Theridon,dilutum,Theridon dilutum,NA,Species,Theridon dilutum,NA,NA
405,Theridon_noemexicanum,Arachnida,Araneae,Theridiidae,Theridon,noemexicanum,Theridon noemexicanum,NA,Species,Theridon noemexicanum,NA,NA
406,Thiodina_hespera,Arachnida,Araneae,Salticidae,Thiodina,hespera,Thiodina hespera,NA,Species,Thiodina hespera,NA,NA
407,Thomisidae,Arachnida,Araneae,Thomisidae,NA,NA,NA,NA,Family,Thomisidae,NA,NA
408,Tibellus_sp,Arachnida,Araneae,Philodromidae,Tibellus,NA,Tibellus,NA,Genus,Tibellus sp.,NA,NA
409,Tidarren_haemorrhoidale,Arachnida,Araneae,Theridiidae,Tidarren,haemorrhoidale,Tidarren haemorrhoidale,NA,Species,Tidarren haemorrhoidale,NA,NA
410,Tidarren_sp,Arachnida,Araneae,Theridiidae,Tidarren,NA,Tidarren,NA,Genus,Tidarren,NA,NA
411,Tifarren_sisyphoides,Arachnida,Araneae,Theridiidae,Tidarren,sisyphoides,Tidarren sisyphoides,NA,Species,Tifarren sisyphoides,NA,NA
412,Tipula_(Lunatipula)_atrisumma,Insecta,Diptera,Tipulidae,Tipula,atrisumma,Tipula atrisumma,NA,Species,Tipula (Lunatipula) atrisumma,NA,NA
413,Tipula_(Tipula)_oleracea,Insecta,Diptera,Tipulidae,Tipula,oleracea,Tipula oleracea,NA,Species,Tipula (Tipula) oleracea,NA,NA
414,Tipula_(Trichotipula)_capistrano,Insecta,Diptera,Tipulidae,Tipula,capistrano,Tipula capistrano,NA,Species,Tipula (Trichotipula) capistrano,NA,NA
415,Tipula_(Triplicitipula)_planicornis,Insecta,Diptera,Tipulidae,Tipula,planicornis,Tipula planicornis,NA,Species,Tipula (Triplicitipula) planicornis,NA,NA
416,Tipula_(Triplicitipula)_praecisa,Insecta,Diptera,Tipulidae,Tipula,praecisa,Tipula praecisa,NA,Species,Tipula (Triplicitipula) praecisa,NA,NA
417,Tipula_aequalis,Insecta,Diptera,Tipulidae,Tipula,aequalis,Tipula aequalis,NA,Species,Tipula aequalis,NA,NA
418,Tipula_atrisumma,Insecta,Diptera,Tipulidae,Tipula,atrisumma,Tipula atrisumma,NA,Species,Tipula atrisumma,NA,NA
419,Tipula_beatula,Insecta,Diptera,Tipulidae,Tipula,beatula,Tipula beatula,NA,Species,Tipula beatula,NA,NA
420,Tipula_capistrano,Insecta,Diptera,Tipulidae,Tipula,capistrano,Tipula capistrano,NA,Species,Tipula capistrano,NA,NA
421,Tipula_doaneiana,Insecta,Diptera,Tipulidae,Tipula,doaneiana,Tipula doaneiana,NA,Species,Tipula doaneiana,NA,NA
422,Tipula_furialis,Insecta,Diptera,Tipulidae,Tipula,furialis,Tipula furialis,NA,Species,Tipula furialis,NA,NA
423,Tipula_megalodonta,Insecta,Diptera,Tipulidae,Tipula,megalodonta,Tipula megalodonta,NA,Species,Tipula megalodonta,NA,NA
424,Tipula_oleracea,Insecta,Diptera,Tipulidae,Tipula,oleracea,Tipula oleracea,NA,Species,Tipula oleracea,NA,NA
425,Tipula_perfidiosa,Insecta,Diptera,Tipulidae,Tipula,perfidiosa,Tipula perfidiosa,NA,Species,Tipula perfidiosa,NA,NA
426,Tipula_planicornis,Insecta,Diptera,Tipulidae,Tipula,planicornis,Tipula planicornis,NA,Species,Tipula planicornis,NA,NA
427,Tipula_praecisa,Insecta,Diptera,Tipulidae,Tipula,praecisa,Tipula praecisa,NA,Species,Tipula praecisa,NA,NA
428,Tipula_vitabilis,Insecta,Diptera,Tipulidae,Tipula,vitabilis,Tipula vitabilis,NA,Species,Tipula vitabilis,NA,NA
429,Toxomerus_marginatus,Insecta,Diptera,Syrphidae,Toxomerus,marginatus,Toxomerus marginatus,NA,Species,Toxomerus marginatus,NA,NA
430,Toxomerus_occidentalis,Insecta,Diptera,Syrphidae,Toxomerus,occidentalis,Toxomerus occidentalis,NA,Species,Toxomerus occidentalis,NA,NA
431,Trachelas_pacificus,Arachnida,Araneae,Trachelidae,Trachelas,pacificus,Trachelas pacificus,NA,Species,Trachelas pacificus,NA,NA
432,Trachelas_sp,Arachnida,Araneae,Trachelidae,Trachelas,NA,Trachelas,NA,Genus,Trachelas sp.,NA,NA
433,Trachyzelotes_barbatus,Arachnida,Araneae,Gnaphosidae,Trachyzelotes,barbatus,Trachyzelotes barbatus,NA,Species,Trachyzelotes barbatus,NA,NA
434,Trachyzelotes_lyonneti,Arachnida,Araneae,Gnaphosidae,Trachyzelotes,lyonneti,Trachyzelotes lyonneti,NA,Species,Trachyzelotes lyonneti,NA,NA
435,Trichoplusia_ni,Insecta,Lepidoptera,Noctuidae,Trichoplusia,ni,Trichoplusia ni,NA,Species,Trichoplusia ni,NA,NA
436,Trichopsomyia_sp,Insecta,Diptera,Syrphidae,Trichopsomyia,NA,Trichopsomyia,NA,Genus,Trichopsomyia sp.,NA,NA
437,Triphleba_sp,Insecta,Diptera,Phoridae,Triphleba,NA,Triphleba,NA,Genus,Triphleba,Triphleba sp,NA
438,Trophodeinus_arizonensis,Insecta,Diptera,Phoridae,Trophodeinus,arizonensis,Trophodeinus arizonensis,NA,Species,Trophodeinus arizonensis,NA,NA
439,Trophodeinus_furcatus,Insecta,Diptera,Phoridae,Trophodeinus,furcatus,Trophodeinus furcatus,NA,Species,Trophodeinus furcatus,NA,NA
440,Uloboridae,Arachnida,Araneae,Uloboridae,NA,NA,NA,NA,Family,Uloboridae,NA,NA
441,Uloborus_diversus,Arachnida,Araneae,Uloboridae,Uloborus,diversus,Uloborus diversus,NA,Species,Uloborus diversus,NA,NA
442,Urozelotes_rusticus,Arachnida,Araneae,Gnaphosidae,Urozelotes,rusticus,Urozelotes rusticus,NA,Species,Urozelotes rusticus,NA,NA
443,"Urytalpa_""BioSCAN""_sp_1",Insecta,Diptera,Keroplatidae,Urytalpa,sp1,Urytalpa sp1,NA,Morphospecies,Urytalpa BioSCAN sp. 1,NA,NA
444,"Urytalpa_""BioSCAN""_sp_2",Insecta,Diptera,Keroplatidae,Urytalpa,sp2,Urytalpa sp2,NA,Morphospecies,Urytalpa BioSCAN sp. 2,NA,NA
445,"Urytalpa_""BioSCAN""_sp_3",Insecta,Diptera,Keroplatidae,Urytalpa,sp3,Urytalpa sp3,NA,Morphospecies,Urytalpa BioSCAN sp. 3,NA,NA
446,"Urytalpa_""BioSCAN""_sp_4",Insecta,Diptera,Keroplatidae,Urytalpa,sp4,Urytalpa sp4,NA,Morphospecies,Urytalpa BioSCAN sp. 4,NA,NA
447,Veruanus_boreotis,Insecta,Diptera,Phoridae,Veruanus,boreotis,Veruanus boreotis,NA,Species,Veruanus boreotis,NA,NA
448,Xylocopa_tabaniformis,Insecta,Hymenoptera,Apidae,Xylocopa,tabaniformis,Xylocopa tabaniformis,NA,Species,Xylocopa tabaniformis,NA,NA
449,Yorima_angelica,Arachnida,Araneae,Cybaeidae,Yorima,angelica,Yorima angelica,NA,Species,Yorima angelica,NA,NA
450,Zaprionus_indianus,Insecta,Diptera,Drosophilidae,Zaprionus,indianus,Zaprionus indianus,NA,Species,Zaprionus indianus,NA,NA
451,Zelotes_nilicola,Arachnida,Araneae,Gnaphosidae,Zelotes,nilicola,Zelotes nilicola,NA,Species,Zelotes nilicola,NA,NA
452,Zygiella_x-notata,Arachnida,Araneae,Araneidae,Zygiella,x-notata,Zygiella x-notata,NA,Species,Zygiella x-notata,NA,NA
453,"Zygomyia_""BioSCAN""_sp_1",Insecta,Diptera,Mycetophilidae,Zygomyia,sp1,Zygomyia sp1,NA,Morphospecies,Zygomyia BioSCAN sp. 1,NA,NA
454,"Zygomyia_""BioSCAN""_sp_2",Insecta,Diptera,Mycetophilidae,Zygomyia,sp2,Zygomyia sp2,NA,Morphospecies,Zygomyia BioSCAN sp. 2,NA,NA
455,Zygomyia_sp,Insecta,Diptera,Mycetophilidae,Zygomyia,NA,Zygomyia,NA,Genus,Zygomyia sp.,NA,NA
